,name,price,spec,transmission
0,Volkswagen Up 2016 Black,"KSh 800,000",Foreign Used,Automatic
1,Mazda Carol 2014 Silver,"KSh 650,000",Foreign Used,Automatic
2,Nissan Juke 2012 Red,"KSh 870,000",Local Used,Automatic
3,Subaru Outback 2.5 2008 Gray,"KSh 750,000",Local Used,Automatic
4,Honda Stepwgn 2008 Silver,"KSh 690,000",Local Used,Automatic
5,Nissan Dualis 2009 Black,"KSh 980,000",Local Used,Automatic
6,Toyota Rush 2006 Blue,"KSh 600,000",Kenyan Used,Automatic
7,Suzuki Escudo 2005 White,"KSh 750,000",Local Used,Automatic
8,Toyota Vitz 2012 Silver,"KSh 760,000",Local Used,Automatic
9,Toyota Passo 2014 Blue,"KSh 680,000",Local Used,Automatic
10,Mazda Biante 2012 Silver,"KSh 790,000",Local Used,Automatic
11,Nissan Murano 2008 Black,"KSh 749,999",Local Used,Automatic
12,Toyota Vitz 2011 Blue,"KSh 670,000",Local Used,Automatic
13,Daihatsu Boon 2015 Purple,"KSh 950,000",Foreign Used,Automatic
14,Suzuki Alto 2015 Pearl,"KSh 750,000",Foreign Used,Automatic
15,Toyota Noah 2.0 AWD (8 Seater) 2006 Gray,"KSh 600,000",Local Used,Automatic
16,Toyota Sienta 1.5 FWD 2009 Gray,"KSh 665,000",Local Used,Automatic
17,Suzuki Alto 2014 Brown,"KSh 570,000",Local Used,Automatic
18,Suzuki Swift 2014 Black,"KSh 650,000",Local Used,Automatic
19,Toyota Rush 2006 Black,"KSh 930,000",Kenyan Used,Automatic
